match_id,team_name,press_pct,progressive_passes,key_passes,crosses
1,Bournemouth,0.2597402597402597,126.0,0.0,0.0
1,Liverpool,0.3939393939393939,146.0,0.0,0.0
2,Aston Villa,0.22950819672131148,129.0,0.0,0.0
2,Newcastle,0.3333333333333333,139.0,0.0,0.0
3,Brighton,0.35384615384615387,123.0,0.0,0.0
3,Fulham,0.3111111111111111,130.0,0.0,0.0
4,Sunderland,0.24074074074074073,119.0,0.0,0.0
4,West Ham,0.42592592592592593,144.0,0.0,0.0
5,Burnley,0.28205128205128205,84.0,0.0,0.0
5,Tottenham,0.22727272727272727,146.0,0.0,0.0
6,Man City,0.2857142857142857,123.0,0.0,0.0
6,Wolves,0.3787878787878788,122.0,0.0,0.0
7,Chelsea,0.4827586206896552,117.0,0.0,0.0
7,Crystal Palace,0.18181818181818182,98.0,0.0,0.0
8,Brentford,0.19696969696969696,133.0,0.0,0.0
8,Nottingham Forest,0.296875,135.0,0.0,0.0
9,Arsenal,0.19672131147540983,113.0,0.0,0.0
9,Man Utd,0.24615384615384617,138.0,0.0,0.0
10,Everton,0.22448979591836735,140.0,0.0,0.0
10,Leeds,0.3898305084745763,122.0,0.0,0.0
11,Chelsea,0.24074074074074073,141.0,0.0,0.0
11,West Ham,0.25,113.0,0.0,0.0
12,Man City,0.4153846153846154,136.0,0.0,0.0
12,Tottenham,0.2857142857142857,132.0,0.0,0.0
13,Bournemouth,0.40816326530612246,134.0,0.0,0.0
13,Wolves,0.22807017543859648,122.0,0.0,0.0
14,Aston Villa,0.23333333333333334,143.0,0.0,0.0
14,Brentford,0.29069767441860467,87.0,0.0,0.0
15,Burnley,0.3013698630136986,125.0,0.0,0.0
15,Sunderland,0.2222222222222222,160.0,0.0,0.0
16,Arsenal,0.4528301886792453,128.0,0.0,0.0
16,Leeds,0.12962962962962962,76.0,0.0,0.0
17,Crystal Palace,0.3333333333333333,127.0,0.0,0.0
17,Nottingham Forest,0.26153846153846155,154.0,0.0,0.0
18,Brighton,0.31666666666666665,125.0,0.0,0.0
18,Everton,0.21052631578947367,131.0,0.0,0.0
19,Fulham,0.3877551020408163,108.0,0.0,0.0
19,Man Utd,0.3829787234042553,110.0,0.0,0.0
20,Liverpool,0.30434782608695654,145.0,0.0,0.0
20,Newcastle,0.23214285714285715,95.0,0.0,0.0
21,Chelsea,0.35,145.0,0.0,0.0
21,Fulham,0.28169014084507044,130.0,0.0,0.0
22,Burnley,0.20634920634920634,120.0,0.0,0.0
22,Man Utd,0.2835820895522388,133.0,0.0,0.0
23,Brentford,0.11363636363636363,115.0,0.0,0.0
23,Sunderland,0.42857142857142855,136.0,0.0,0.0
24,Bournemouth,0.3333333333333333,125.0,0.0,0.0
24,Tottenham,0.18461538461538463,185.0,0.0,0.0
25,Everton,0.42105263157894735,149.0,0.0,0.0
25,Wolves,0.14634146341463414,161.0,0.0,0.0
26,Leeds,0.3013698630136986,116.0,0.0,0.0
26,Newcastle,0.25806451612903225,181.0,0.0,0.0
27,Brighton,0.27941176470588236,102.0,0.0,0.0
