match_id,player_name,x,y,is_goal,xg_predicted
5,Oliver Sonne,83.1,66.5,0,0.25815866817324506
5,Josh Laurent,74.3,39.9,0,0.3394264613796261
5,Kyle Walker,70.4,37.9,0,0.2811885787214996
5,Jaidon Anthony,79.1,65.0,0,0.24938230394723054
5,Lyle Foster,77.5,41.3,0,0.3838203688101017
5,Maxime Estève,92.0,50.5,0,0.6273716001580801
5,Josh Laurent,86.6,70.2,0,0.2579676176705357
5,Hannibal Mejbri,78.4,78.2,0,0.10355758492905508
5,Djed Spence,78.5,59.7,0,0.3588551209460622
5,Josh Laurent,78.4,41.2,0,0.3827366645135537
5,Micky van de Ven,97.4,48.5,0,0.6566757240471498
5,Richarlison,88.5,58.8,0,0.44415008305740067
5,Richarlison,96.5,57.7,0,0.6408800709683365
5,Mohammed Kudus,92.6,23.5,0,0.32426336316166937
5,Lyle Foster,90.5,46.3,0,0.5558808715742498
5,Jaidon Anthony,92.7,53.2,0,0.5801941073343554
5,Richarlison,88.6,54.3,1,0.5335085476147136
5,Pedro Porro,76.7,32.2,0,0.19239911034229285
5,Brennan Johnson,90.5,61.1,1,0.4424865911830595
5,Lesley Ugochukwu,82.2,49.1,0,0.6406593347071414
5,Micky van de Ven,96.4,46.4,0,0.6463424222000178
5,Jaidon Anthony,84.9,46.6,0,0.5511590970840899
5,Dominic Solanke,86.2,47.2,0,0.569225175268642
5,Djed Spence,96.1,66.9,0,0.5450522892097395
5,Mohammed Kudus,75.0,42.3,0,0.4120147534354775
6,Erling Haaland,92.3,50.7,0,0.6222572879504792
6,Erling Haaland,95.5,45.8,0,0.6204157728396636
6,Jørgen Strand Larsen,88.0,46.6,0,0.5536977604871679
6,Jean-Ricner Bellegarde,81.0,65.8,0,0.24960388716075818
6,Nico González,81.6,40.0,0,0.36357106513163573
6,Rayan Aït-Nouri,75.8,49.0,0,0.6563382527777764
6,Nico González,73.7,55.5,0,0.489115629298827
6,Erling Haaland,96.9,53.2,1,0.661341400622384
6,Tijjani Reijnders,84.3,65.0,1,0.292668284178733
6,Erling Haaland,93.3,46.9,0,0.5873016150531875
6,Jørgen Strand Larsen,89.2,43.2,0,0.48707938000530027
6,Erling Haaland,91.4,48.3,0,0.60030454153545
6,Rayan Aït-Nouri,80.9,61.3,0,0.3309480746827761
6,Jørgen Strand Larsen,89.9,37.0,0,0.40591543916044004
6,Erling Haaland,85.7,37.0,1,0.3397870521085623
6,Marshall Munetsi,86.4,39.3,0,0.3864888346492544
6,Jørgen Strand Larsen,88.4,67.7,0,0.3179525436530255
6,Emmanuel Agbadou,70.0,51.1,0,0.6705105291941656
6,Rayan Cherki,78.8,46.2,1,0.5434022800631135
6,Tijjani Reijnders,77.5,38.7,0,0.3160997879047318
6,Fer López,82.2,42.5,0,0.42827615659824503
6,Omar Marmoush,82.1,57.2,0,0.4361070414363357
6,Tijjani Reijnders,85.5,65.8,0,0.2957541122701685
6,Fer López,87.2,35.4,0,0.33661822231697364
7,Marc Cucurella,97.7,58.7,0,0.6815895164026764
7,Eberechi Eze,57.0,88.2,0,0.018539134227682164
7,Chris Richards,89.8,46.4,0,0.554423121781135
7,Jean-Philippe Mateta,77.5,33.6,0,0.21739258824856786
7,Jean-Philippe Mateta,85.3,47.4,0,0.5759372856860203
7,Cole Palmer,83.2,73.2,0,0.18225926775795467
7,Pedro Neto,76.8,37.8,0,0.2930236151011222
7,Josh Acheampong,96.4,57.7,0,0.6371758967358512
7,Eberechi Eze,70.9,74.2,0,0.09870829295625207
7,Jamie Gittens,78.0,45.6,0,0.5230608458708387
7,João Pedro,87.4,60.5,0,0.40170402430008567
7,Moisés Caicedo,81.1,47.8,0,0.5966085511539467
7,Jamie Gittens,80.5,67.3,0,0.22376865363456225
7,Trevoh Chalobah,91.4,48.4,0,0.6024990530190479
7,Cole Palmer,81.3,52.2,0,0.5961588735152924
7,Marc Cucurella,81.3,61.7,0,0.3248623276860447
7,Eberechi Eze,85.7,55.5,0,0.49279734712228174
7,Eberechi Eze,82.2,47.4,0,0.5802175343460432
7,Daniel Muñoz,85.6,41.8,0,0.4281072813167041
7,Cole Palmer,77.0,30.1,0,0.16705334471838573
7,João Pedro,96.4,47.6,0,0.6406495445167041
7,Cole Palmer,92.1,40.7,0,0.4983166002643868
7,Estêvão,90.3,53.4,0,0.5609177171669808
7,Eberechi Eze,60.4,67.3,0,0.16056910725700646
7,Jean-Philippe Mateta,71.8,30.7,0,0.15176267315571434
7,Eberechi Eze,75.7,51.2,0,0.6489703360693684
7,Malo Gusto,72.2,37.2,0,0.2670305854519532
7,Liam Delap,85.4,32.8,0,0.275818984089016
7,Andrey Santos,85.9,49.9,0,0.6573795187704354
7,Andrey Santos,89.6,46.3,0,0.5513696502046471
8,Chris Wood,90.6,41.5,1,0.47912582517287894
8,Elliot Anderson,84.4,34.4,0,0.28501890554960174
8,Elliot Anderson,91.2,45.2,0,0.5419361817493559
8,Morgan Gibbs-White,81.7,35.8,0,0.28094111809949746
8,Elliot Anderson,77.9,33.9,0,0.22431786587163596
8,Yehor Yarmoliuk,81.5,53.2,0,0.5605233543651513
8,Nathan Collins,93.0,38.7,0,0.49922341545654175
8,Mathias Jensen,87.8,60.6,0,0.4052270655115579
8,Igor Thiago,92.0,45.4,0,0.5537226624094866
8,Dan Ndoye,90.8,46.0,1,0.5521164374081191
8,Chris Wood,96.1,60.5,1,0.6062552003464494
8,Keane Lewis-Potter,80.6,48.9,0,0.6380492664192344
8,Keane Lewis-Potter,85.3,62.4,0,0.34503666752793116
8,Ibrahim Sangaré,69.0,60.5,0,0.32407136731991504
8,Fábio Carvalho,80.3,37.6,0,0.3046967849230525
8,Callum Hudson-Odoi,72.8,66.4,0,0.19749746756012088
8,Morgan Gibbs-White,91.7,52.1,0,0.5926056133526919
8,Morgan Gibbs-White,76.0,60.5,0,0.3317292746917002
8,Sepp van den Berg,92.7,50.0,0,0.637328288843746
8,Sepp van den Berg,91.1,47.0,0,0.5727173449970353
8,Igor Thiago,88.5,50.0,1,0.6519215812920894
9,Bryan Mbeumo,87.0,37.6,0,0.36583959979011926
